CD_MUN,NM_MUN,CNAE_section,MPI
4312443,Morrinhos do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005813682672348118
4312450,Morro Redondo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0056990566768316585
4312476,Morro Reuter,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.04106952291406207
4312500,Mostardas,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.003827593964133935
4312609,Muçum,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02137439170053647
4312617,Muitos Capões,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009534661831259806
4312658,Não-Me-Toque,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.022067287844667684
4312674,Nicolau Vergueiro,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.017105202645546675
4312708,Nonoai,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008400769283812613
4312757,Nova Alvorada,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018230210994269004
4312807,Nova Araçá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.024314735805591126
4312906,Nova Bassano,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.023764983470727107
4312955,Nova Boa Vista,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02077562649136287
4313003,Nova Bréscia,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018157195311618038
4313011,Nova Candelária,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.019957078082868434
4313037,Nova Esperança do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005107488224825083
4313060,Nova Hartz,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03211615440379241
4313086,Nova Pádua,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.034585453039311424
4313102,Nova Palma,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009166910437077715
4313201,Nova Petrópolis,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.028736006230614383
4313300,Nova Prata,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.023144732253019527
4313334,Nova Ramada,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.011673495821145422
